,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
179,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.5,True,SGD,[5],0.9294117647058823
180,Lrelu,32.0,2000,1e-06,0.7,0.001,0.5,True,SGD,[5],0.9235294117647058
181,Lrelu,32.0,2000,1e-06,0.1,0.01,0.0,True,SGD,[3],0.9117647058823529
182,Lrelu,32.0,2000,1e-06,0.1,0.01,0.0,False,SGD,[3],0.9117647058823529
183,Lrelu,32.0,2000,1e-06,0.5,0.01,0.5,True,SGD,[5],0.9
184,Lrelu,32.0,2000,1e-06,0.01,0.01,0.9,False,SGD,[3],0.8941176470588236
185,Lrelu,,2000,1e-06,0.01,0.001,0.9,True,SGD,[3],0.8882352941176471
186,Lrelu,,2000,1e-06,0.01,0.0,0.9,True,SGD,[3],0.8882352941176471
187,Lrelu,,2000,1e-06,0.01,0.0001,0.9,True,SGD,[3],0.8882352941176471
188,Lrelu,,2000,1e-06,0.1,0.0,0.9,True,SGD,[5],0.8823529411764707
189,Lrelu,32.0,2000,1e-06,0.1,0.01,0.9,False,SGD,[5],0.8823529411764707
190,Lrelu,,2000,1e-06,0.1,0.01,0.9,True,SGD,[5],0.8823529411764707
191,Lrelu,,2000,1e-06,0.1,0.0001,0.9,True,SGD,[5],0.8823529411764707
192,Lrelu,,2000,1e-06,0.1,0.001,0.9,True,SGD,[5],0.8823529411764707
193,Lrelu,,2000,1e-06,0.01,0.01,0.9,True,SGD,[3],0.8764705882352942
194,Lrelu,32.0,2000,1e-06,0.5,0.001,0.5,True,SGD,[5],0.8470588235294118
195,Lrelu,32.0,2000,1e-06,0.7,0.01,0.0,True,SGD,[5],0.8352941176470589
196,Lrelu,32.0,2000,1e-06,0.7,0.01,0.0,False,SGD,[5],0.8352941176470589
197,Lrelu,32.0,2000,1e-06,0.1,0.001,0.9,False,SGD,[5],0.8352941176470589
198,Lrelu,32.0,2000,1e-06,0.5,0.01,0.5,False,SGD,[5],0.8294117647058824
199,Lrelu,32.0,2000,1e-06,0.5,0.0,0.5,True,SGD,[5],0.8294117647058823
