,activation,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation neg_mean_squared_error
108,sigmoid,,1000,0.0001,0.01,0.001,Adam,"[3, 5]",-10.970219941158302
109,sigmoid,,1000,0.0001,0.001,0.001,Adam,"[3, 5]",-10.970219941158302
110,sigmoid,,1000,0.0001,0.5,0.01,Adam,"[3, 5]",-10.970298509657994
111,sigmoid,,1000,0.0001,0.3,0.01,Adam,"[3, 5]",-10.970298509657994
112,sigmoid,,1000,0.0001,0.01,0.01,Adam,"[3, 5]",-10.970298509657994
113,sigmoid,,1000,0.0001,0.001,0.01,Adam,"[3, 5]",-10.970298509657994
114,sigmoid,,1000,0.0001,0.1,0.01,Adam,"[3, 5]",-10.970298509657994
115,sigmoid,,1000,0.0001,0.001,0.05,Adam,"[3, 5]",-10.970647519371616
116,sigmoid,,1000,0.0001,0.1,0.05,Adam,"[3, 5]",-10.970647519371616
117,sigmoid,,1000,0.0001,0.5,0.05,Adam,"[3, 5]",-10.970647519371616
118,sigmoid,,1000,0.0001,0.3,0.05,Adam,"[3, 5]",-10.970647519371616
119,sigmoid,,1000,0.0001,0.01,0.05,Adam,"[3, 5]",-10.970647519371616
