,batch_size,epochs,eps,eta,lmbda,momentum,optimizer,sizes,Validation neg_mean_squared_error
281,32.0,1000,0.0001,0.001,0.0,0.0,SGM,"[30, 50]",-57.230600186885646
282,32.0,1000,0.0001,0.001,0.0,0.2,SGM,"[30, 50]",-57.230600186885646
283,32.0,1000,0.0001,0.001,0.0,0.5,SGM,"[30, 50]",-57.230600186885646
284,,500,0.0001,0.01,0.0,0.9,SGM,"[16, 32]",-60.329309625041034
285,,500,0.0001,0.01,0.0,0.0,SGM,"[16, 32]",-60.329309625041034
286,,500,0.0001,0.01,0.0,0.2,SGM,"[16, 32]",-60.329309625041034
287,,500,0.0001,0.01,0.0,0.5,SGM,"[16, 32]",-60.329309625041034
288,,500,0.0001,0.01,0.001,0.5,SGM,"[16, 32]",-60.34803411445804
289,,500,0.0001,0.01,0.001,0.9,SGM,"[16, 32]",-60.34803411445804
290,,500,0.0001,0.01,0.001,0.2,SGM,"[16, 32]",-60.34803411445804
291,,500,0.0001,0.01,0.001,0.0,SGM,"[16, 32]",-60.34803411445804
292,,500,0.0001,0.01,0.01,0.0,SGM,"[16, 32]",-60.46224309158824
293,,500,0.0001,0.01,0.01,0.5,SGM,"[16, 32]",-60.46224309158824
294,,500,0.0001,0.01,0.01,0.2,SGM,"[16, 32]",-60.46224309158824
295,,500,0.0001,0.01,0.01,0.9,SGM,"[16, 32]",-60.46224309158824
296,32.0,500,0.0001,0.001,0.0,0.0,SGM,"[50, 50]",-62.58133512451923
297,32.0,500,0.0001,0.001,0.0,0.5,SGM,"[50, 50]",-62.58133512451923
298,32.0,500,0.0001,0.001,0.0,0.2,SGM,"[50, 50]",-62.58133512451923
299,32.0,500,0.0001,0.001,0.0,0.9,SGM,"[50, 50]",-62.58133512451923
300,32.0,500,0.0001,0.001,0.0,0.5,SGM,"[30, 50]",-72.68745350802487
301,32.0,500,0.0001,0.001,0.0,0.9,SGM,"[30, 50]",-72.68745350802487
302,32.0,500,0.0001,0.001,0.0,0.2,SGM,"[30, 50]",-72.68745350802487
303,32.0,500,0.0001,0.001,0.0,0.0,SGM,"[30, 50]",-72.68745350802487
304,32.0,1000,0.0001,0.001,0.0,0.5,SGM,"[16, 32]",-79.46321156287595
305,32.0,1000,0.0001,0.001,0.0,0.2,SGM,"[16, 32]",-79.46321156287595
