,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation neg_mean_squared_error
191,sigmoid,,1000,0.0001,0.001,0.05,0.9,False,SGD,"[10, 5]",-8.282059040057513
192,sigmoid,,1000,0.0001,0.5,0.05,0.9,False,SGD,"[10, 5]",-8.282059040057513
193,sigmoid,,1000,0.0001,0.3,0.05,0.9,True,SGD,"[10, 5]",-8.282059040057513
194,sigmoid,,1000,0.0001,0.5,0.05,0.9,True,SGD,"[10, 5]",-8.282059040057513
195,sigmoid,,1000,0.0001,0.3,0.05,0.5,True,SGD,"[10, 5]",-8.282059040057513
196,sigmoid,,1000,0.0001,0.3,0.05,0.9,False,SGD,"[10, 5]",-8.282059040057513
197,sigmoid,,1000,0.0001,0.3,0.05,0.5,False,SGD,"[10, 5]",-8.282059040057513
198,sigmoid,,1000,0.0001,0.5,0.05,0.5,False,SGD,"[10, 5]",-8.282059040057513
199,sigmoid,,1000,0.0001,0.5,0.05,0.5,True,SGD,"[10, 5]",-8.282059040057513
200,sigmoid,,1000,0.0001,0.1,0.01,0.5,False,SGD,"[10, 5]",-8.283196389830092
201,sigmoid,,1000,0.0001,0.001,0.01,0.9,False,SGD,"[10, 5]",-8.283196389830092
202,sigmoid,,1000,0.0001,0.01,0.01,0.5,True,SGD,"[10, 5]",-8.283196389830092
203,sigmoid,,1000,0.0001,0.3,0.01,0.9,False,SGD,"[10, 5]",-8.283196389830092
204,sigmoid,,1000,0.0001,0.1,0.01,0.9,False,SGD,"[10, 5]",-8.283196389830092
205,sigmoid,,1000,0.0001,0.01,0.01,0.9,False,SGD,"[10, 5]",-8.283196389830092
206,sigmoid,,1000,0.0001,0.5,0.01,0.5,False,SGD,"[10, 5]",-8.283196389830092
207,sigmoid,,1000,0.0001,0.5,0.01,0.9,False,SGD,"[10, 5]",-8.283196389830092
208,sigmoid,,1000,0.0001,0.1,0.01,0.9,True,SGD,"[10, 5]",-8.283196389830092
209,sigmoid,,1000,0.0001,0.3,0.01,0.5,False,SGD,"[10, 5]",-8.283196389830092
210,sigmoid,,1000,0.0001,0.01,0.01,0.9,True,SGD,"[10, 5]",-8.283196389830092
211,sigmoid,,1000,0.0001,0.001,0.01,0.5,True,SGD,"[10, 5]",-8.283196389830092
212,sigmoid,,1000,0.0001,0.001,0.01,0.9,True,SGD,"[10, 5]",-8.283196389830092
213,sigmoid,,1000,0.0001,0.3,0.01,0.9,True,SGD,"[10, 5]",-8.283196389830092
214,sigmoid,,1000,0.0001,0.001,0.01,0.5,False,SGD,"[10, 5]",-8.283196389830092
215,sigmoid,,1000,0.0001,0.5,0.01,0.9,True,SGD,"[10, 5]",-8.283196389830092
216,sigmoid,,1000,0.0001,0.3,0.01,0.5,True,SGD,"[10, 5]",-8.283196389830092
217,sigmoid,,1000,0.0001,0.5,0.01,0.5,True,SGD,"[10, 5]",-8.283196389830092
218,sigmoid,,1000,0.0001,0.01,0.01,0.5,False,SGD,"[10, 5]",-8.283196389830092
219,sigmoid,,1000,0.0001,0.1,0.01,0.5,True,SGD,"[10, 5]",-8.283196389830092
220,sigmoid,,1000,0.0001,0.1,0.001,0.9,True,SGD,"[10, 5]",-8.283450449830863
221,sigmoid,,1000,0.0001,0.001,0.001,0.9,False,SGD,"[10, 5]",-8.283450449830863
222,sigmoid,,1000,0.0001,0.01,0.001,0.9,False,SGD,"[10, 5]",-8.283450449830863
223,sigmoid,,1000,0.0001,0.001,0.001,0.9,True,SGD,"[10, 5]",-8.283450449830863
224,sigmoid,,1000,0.0001,0.1,0.001,0.9,False,SGD,"[10, 5]",-8.283450449830863
225,sigmoid,,1000,0.0001,0.001,0.001,0.5,True,SGD,"[10, 5]",-8.283450449830863
226,sigmoid,,1000,0.0001,0.001,0.001,0.5,False,SGD,"[10, 5]",-8.283450449830863
227,sigmoid,,1000,0.0001,0.1,0.001,0.5,False,SGD,"[10, 5]",-8.283450449830863
228,sigmoid,,1000,0.0001,0.1,0.001,0.5,True,SGD,"[10, 5]",-8.283450449830863
229,sigmoid,,1000,0.0001,0.01,0.001,0.5,True,SGD,"[10, 5]",-8.283450449830863
230,sigmoid,,1000,0.0001,0.3,0.001,0.5,True,SGD,"[10, 5]",-8.283450449830863
231,sigmoid,,1000,0.0001,0.01,0.001,0.5,False,SGD,"[10, 5]",-8.283450449830863
232,sigmoid,,1000,0.0001,0.3,0.001,0.9,False,SGD,"[10, 5]",-8.283450449830863
233,sigmoid,,1000,0.0001,0.01,0.001,0.9,True,SGD,"[10, 5]",-8.283450449830863
234,sigmoid,,1000,0.0001,0.3,0.001,0.9,True,SGD,"[10, 5]",-8.283450449830863
235,sigmoid,,1000,0.0001,0.5,0.001,0.5,True,SGD,"[10, 5]",-8.283450449830863
236,sigmoid,,1000,0.0001,0.3,0.001,0.5,False,SGD,"[10, 5]",-8.283450449830863
237,sigmoid,,1000,0.0001,0.5,0.001,0.5,False,SGD,"[10, 5]",-8.283450449830863
238,sigmoid,,1000,0.0001,0.5,0.001,0.9,False,SGD,"[10, 5]",-8.283450449830863
239,sigmoid,,1000,0.0001,0.5,0.001,0.9,True,SGD,"[10, 5]",-8.283450449830863
240,sigmoid,,1000,0.0001,0.01,0.0001,0.9,False,SGD,"[10, 5]",-8.28347590676707
241,sigmoid,,1000,0.0001,0.01,0.0001,0.9,True,SGD,"[10, 5]",-8.28347590676707
242,sigmoid,,1000,0.0001,0.01,0.0001,0.5,False,SGD,"[10, 5]",-8.28347590676707
243,sigmoid,,1000,0.0001,0.3,0.0001,0.5,True,SGD,"[10, 5]",-8.28347590676707
244,sigmoid,,1000,0.0001,0.01,0.0001,0.5,True,SGD,"[10, 5]",-8.28347590676707
245,sigmoid,,1000,0.0001,0.5,0.0001,0.9,True,SGD,"[10, 5]",-8.28347590676707
246,sigmoid,,1000,0.0001,0.1,0.0001,0.5,True,SGD,"[10, 5]",-8.28347590676707
247,sigmoid,,1000,0.0001,0.5,0.0001,0.5,True,SGD,"[10, 5]",-8.28347590676707
248,sigmoid,,1000,0.0001,0.1,0.0001,0.9,False,SGD,"[10, 5]",-8.28347590676707
249,sigmoid,,1000,0.0001,0.1,0.0001,0.5,False,SGD,"[10, 5]",-8.28347590676707
250,sigmoid,,1000,0.0001,0.5,0.0001,0.5,False,SGD,"[10, 5]",-8.28347590676707
251,sigmoid,,1000,0.0001,0.5,0.0001,0.9,False,SGD,"[10, 5]",-8.28347590676707
